passenger_id,survived,p_class,title_name,full_name,gender,age,siblings,parents,embarked
2,0,2,Mrs.,Arv Haith,male,88.26243698687756,2,0,S
4,1,3,Mr.,Cherin Dye,female,45.67648375554435,0,1,S
5,0,3,Miss.,Lincoln Whiles,male,61.869570337678205,1,1,C
6,1,2,Miss.,Ashby Pover,male,,2,1,S
8,0,3,Miss.,Analiese Scardifield,male,84.61074140049796,0,0,C
9,0,2,Miss.,Irma Toynbee,male,55.58017080779751,1,1,C
10,1,2,Mr.,Merridie Denecamp,female,39.28957275436441,0,0,C
11,1,2,Mrs.,Joshuah Maffetti,female,12.810309667899231,1,0,S
13,0,2,Miss.,Burke Woolland,male,28.27566959202424,3,1,C
16,0,3,Mr.,Herta Woolard,male,50.93671109428586,0,0,C
18,0,2,Mrs.,Valaria Daddow,female,84.48663336352834,1,0,Q
19,0,3,Miss.,Clarey Petrovsky,male,54.71696971928885,1,0,C
20,1,1,Miss.,Michelle Somner,male,99.60642898041873,0,1,S
22,0,3,Miss.,Johnathan Simmens,male,18.397634510720057,1,1,S
23,1,1,Mrs.,Ermin Girardin,male,92.58605196706688,0,0,Q
26,1,3,Mr.,Petunia Turfin,female,49.16198618013501,3,0,C
27,0,3,Mrs.,Vidovik Edler,female,82.47349356057619,3,1,C
28,0,2,Mrs.,Marco Crudginton,male,92.81494913978682,2,1,C
30,1,1,Miss.,Allison Fitton,male,,2,1,Q
31,0,2,Mrs.,Vin D'Almeida,male,80.28575996032014,3,1,S
32,1,1,Miss.,Erroll Cuming,female,36.78049989659471,2,1,C
33,0,2,Miss.,Melesa Haestier,male,70.06764058340063,3,0,C
34,0,3,Miss.,Marice Cobello,female,,2,1,C
36,0,3,Mr.,Ariana Fayter,male,60.32001700065519,1,0,S
37,0,3,Mr.,Valentijn Tethacot,male,56.51340333658413,0,1,C
38,0,3,Miss.,Stoddard Towler,female,,2,1,S
39,0,2,Mr.,Erskine Simioli,male,90.33267617472276,1,0,C
40,0,3,Mrs.,Corrianne Colbran,male,88.88379543198475,3,1,Q
41,0,2,Mrs.,Stephannie Driutti,male,59.65467204743504,0,1,C
42,1,1,Miss.,Tatiania Brodeau,female,98.8965736692378,3,0,S
43,0,2,Miss.,Sheffie Kelso,male,46.433418598526,0,0,S
44,1,1,Mrs.,Glennis Shippard,male,63.384882253405344,1,1,C
45,0,2,Mrs.,Dusty Winscom,male,75.3504087458671,0,1,Q
46,1,1,Mr.,Niki Clerke,male,48.99702297361158,3,0,Q
47,0,3,Miss.,Penelopa Herculeson,male,85.10548370407277,0,0,Q
48,0,2,Mr.,Woodrow MacNish,male,90.25795918366347,2,1,S
49,0,3,Mr.,Brnaba Rousell,male,27.93284065383336,3,1,S
50,1,1,Mr.,Johnath York,male,90.36126156276028,0,1,C
51,0,3,Miss.,Olympia Russan,male,58.60770904669151,0,0,S
52,1,1,Mrs.,Pammi Branno,female,77.63368485233734,1,1,C
53,0,3,Mr.,Katherina Mowatt,male,46.09158754036429,2,0,S
54,0,3,Mrs.,Sarajane Grigorkin,male,36.06016809097549,3,1,S
56,1,2,Miss.,Cchaddie Edmunds,female,35.87137266451862,0,1,S
57,0,3,Miss.,Bren Bruhnicke,male,43.17742055751792,1,0,S
59,1,2,Mrs.,Donnell Drewitt,female,,0,0,Q
60,1,1,Mrs.,Pedro Hairyes,female,,3,1,C
62,1,2,Mrs.,Xenos Tartt,female,62.09596626182996,1,0,S
63,0,2,Mrs.,Rosette Heeks,female,,1,1,S
64,1,3,Miss.,Sondra Verissimo,female,42.35900270409259,3,1,S
65,0,3,Miss.,Mendy Saer,male,59.08276383892007,0,1,Q
66,0,3,Mr.,Susanne Sebrens,male,,0,0,Q
67,0,2,Mrs.,Budd Marques,female,,1,0,Q
68,0,3,Mr.,Cyndy Smaile,male,99.27983033805374,1,0,Q
69,0,2,Miss.,Winny McMarquis,female,67.50579499405683,3,0,Q
70,1,3,Mrs.,Vernice Birdwistle,female,39.54488403473569,0,1,Q
71,0,3,Mr.,Valaree Juszkiewicz,male,67.56796777160807,3,1,Q
72,0,3,Mr.,Adoree Serjent,female,81.89845493098586,2,1,Q
73,0,3,Mr.,Nikita Eberts,male,42.50646615389839,3,0,C
74,1,2,Miss.,Lockwood Eisak,male,35.71633477018159,3,0,S
75,1,1,Mrs.,Ian Castard,female,19.86208971789963,0,0,C
76,1,1,Mrs.,Zared Pasque,female,38.97891387163892,2,1,S
77,0,3,Miss.,Jaquelyn Bletso,female,90.47093089977608,3,0,C
78,0,2,Mrs.,Violet Bozworth,female,,1,1,S
80,1,1,Mr.,Ellis Kiendl,female,18.17061887558912,3,0,S
81,1,1,Mr.,Berny Sibborn,female,,2,1,Q
82,0,2,Mr.,Dell Assandri,male,,0,0,Q
83,1,1,Mrs.,Meredithe Raggatt,female,85.91766488404772,2,0,C
85,1,2,Mr.,Janaya Hollibone,female,63.95465403899375,2,1,Q
86,1,3,Miss.,Edgard Flemming,female,27.83212429713071,1,1,Q
88,1,1,Mrs.,Riane de Bullion,female,49.00638756698907,2,1,C
89,0,3,Mrs.,Tad Kornalik,male,91.2431726389675,3,1,Q
90,0,2,Mr.,Isador Renehan,male,27.64270475098821,1,0,C
91,1,3,Mr.,Karrie Dubique,female,55.91891939158784,2,0,Q
92,0,3,Miss.,Garwood Bonanno,female,92.51212773657868,3,1,C
93,0,3,Mr.,Floyd Bumpus,male,92.86353172260088,3,0,C
94,0,2,Mr.,Ches Crystal,male,94.92423664505006,1,1,S
95,0,3,Mr.,Jorie Purseglove,male,18.86347148545614,2,0,S
97,1,3,Mr.,Henrie Buttwell,female,20.841062470260745,2,1,S
98,0,3,Miss.,Garrard Flemming,female,81.02824452918686,2,0,S
99,0,2,Miss.,L;urette Fewings,male,54.06867388695342,0,1,S
100,0,2,Mr.,Ham Amar,female,80.7543793007063,0,0,S
101,0,2,Mrs.,Willa Treanor,female,68.2796216997401,2,1,S
102,0,2,Mr.,Louis Conerding,male,77.16778443267424,3,1,Q
103,1,2,Mrs.,Elvin Siggin,female,36.69147019835557,0,0,S
104,0,2,Mrs.,Rinaldo Kitchingham,female,,3,0,S
105,1,1,Miss.,Lorine Easlea,female,82.74323746191304,2,1,S
107,0,2,Mrs.,Reinald Geer,male,55.73489033679746,2,1,Q
108,0,3,Mr.,Deeanne Baude,male,58.71857073274014,1,0,S
110,1,3,Mr.,Tudor Caldera,female,29.33786605051204,2,1,C
111,0,3,Mr.,Rosa Barnhill,male,,1,0,S
113,0,3,Miss.,Morlee Elliff,female,70.37180941295337,2,0,S
114,1,3,Miss.,Mollee Breton,male,,0,1,S
116,0,3,Mr.,Karleen Ahmad,male,28.70591070967699,2,1,Q
117,0,2,Miss.,Marj Tulk,male,71.11827269436313,2,1,S
118,1,1,Mr.,Mufinella Towsie,female,55.957027104701744,1,1,C
119,0,3,Mr.,Shea Le Houx,male,57.80932043713041,0,0,S
120,0,3,Mrs.,Sibley Paszak,male,31.94971550653037,2,0,S
121,0,2,Mr.,Gawen O'Longain,female,99.26660927774527,3,1,C
122,1,3,Mrs.,Melony Blucher,female,19.462197874160324,0,1,Q
123,0,2,Mr.,Dianemarie Di Lucia,female,90.1276930388339,0,0,S
124,1,2,Mrs.,Fields Chilles,female,21.85395157040381,2,1,S
125,1,3,Mrs.,Sandi Yakobovicz,female,54.77653822550099,1,1,Q
126,0,3,Mrs.,Silvio Brithman,male,72.19830789091975,3,0,S
127,0,2,Mr.,Adelind Grindlay,female,73.20506431708202,2,0,C
128,1,1,Mr.,Alfie Uebel,female,25.097904447222664,3,1,C
129,0,3,Mrs.,Merline Fewless,female,79.4282505854087,3,0,C
130,1,1,Mr.,Eula Abelwhite,female,22.694102355627763,0,0,S
131,0,3,Miss.,Shauna Wennam,female,74.09995118662538,1,0,Q
132,1,1,Mrs.,Eryn Peterson,female,,0,1,S
133,0,3,Miss.,Melva Edgar,male,76.51528166506499,3,0,S
134,1,2,Mrs.,Izabel Ramsdale,female,40.36445812627393,2,1,C
135,0,3,Miss.,Pete Ormerod,male,22.636606524628835,0,0,S
136,0,2,Miss.,Wilow Flowerdew,male,43.71681032323423,2,0,C
138,0,3,Mr.,Janine Fellgate,male,51.095204851223706,0,1,S
139,1,2,Mrs.,Cinda Axcell,female,32.40735536903004,3,1,S
140,1,3,Mr.,Cybill Dicte,male,14.929369472622955,1,1,C
141,1,1,Mr.,Myrilla Farraway,female,18.17937187795337,1,1,C
142,1,2,Mr.,Norbie Konertz,female,57.1445746826306,3,1,C
143,0,3,Mrs.,West Angelo,male,75.72333165715777,3,1,S
144,0,2,Mrs.,Blair Sawforde,male,30.462444009977105,2,1,S
145,1,3,Mr.,Ekaterina Hilbourne,male,,3,1,S
146,0,3,Miss.,Lanae Blowes,male,19.084516260575285,3,0,S
147,0,2,Mr.,Dilan Whitebread,male,85.07251946286527,1,1,S
148,1,2,Miss.,Bone Atterley,male,55.5238007849817,1,0,C
149,1,1,Miss.,Augy Acomb,female,28.347202866460226,3,1,Q
150,1,2,Miss.,Mannie Schieferstein,female,57.65230666433392,1,1,Q
151,1,1,Miss.,Augustin Wattam,female,53.510290354341336,3,0,C
152,0,2,Mrs.,Brigham Jowitt,male,31.23778148501391,1,0,Q
153,1,1,Mr.,Bibi Adamini,female,28.20903551542484,0,0,Q
154,0,2,Mrs.,Cosimo Kobera,male,91.55019463288244,1,0,Q
155,1,1,Mr.,Allegra Brim,male,74.40730404458525,0,1,C
156,0,3,Miss.,Bendicty Schule,male,82.52858984876657,2,1,S
157,0,3,Mr.,Jenna MacAree,male,67.28995924986882,2,0,S
158,1,1,Mr.,Goldina Ramstead,male,94.98862655990118,2,1,C
159,0,3,Mrs.,Clayborn Brockton,male,30.23750241323424,3,0,C
161,0,2,Miss.,Wren Lechelle,male,66.82869430083146,2,0,S
163,0,3,Mrs.,Janella Cosham,male,62.4602408563218,1,1,C
166,0,2,Miss.,Laetitia Prott,female,81.26775082511595,0,0,C
167,0,3,Mr.,Gerianna Filkov,male,69.98157722643901,0,0,Q
168,0,2,Mr.,Janot Nelle,male,62.04886993367464,0,0,S
169,0,2,Mr.,Georgine Tackes,female,71.33336769842424,0,0,C
170,1,2,Mrs.,Stewart Carcass,female,22.929403316372937,3,1,S
171,1,1,Mrs.,Joan Drewet,female,43.625366215167205,3,0,S
172,0,2,Mrs.,Bayard Strangwood,female,88.23897719257212,1,1,S
174,0,3,Mr.,Pippa Lancastle,male,54.2329110571458,0,0,S
175,0,2,Mr.,Ricardo Venning,male,79.37297332023186,2,1,S
176,1,2,Mr.,Kaylil Kobke,female,31.325766591889792,0,0,Q
177,1,2,Miss.,Delcina Pinck,female,26.32177237891353,3,0,S
178,0,2,Miss.,Brett Tighe,female,77.75837245836618,1,1,C
179,1,2,Mr.,Amandy Benian,female,62.62664318769155,1,0,S
180,1,2,Miss.,Jesse Orkney,female,48.197228657435005,1,0,Q
